fiber_id,u_px,v_px,X_true_um,Y_true_um,X_meas_um,Y_meas_um,dX_um,dY_um,radial_err_um,detect_success
67,6348.242284937536,5615.902079982298,-104805.78451323055,40974.377120916935,-104804.79785528436,40975.80443457846,-0.9866579461959191,-1.4273136615229305,1.7351421241966156,True
68,7022.494275982413,4656.03441186401,-12156.526362392528,-93391.04097479486,-12156.008915836368,-93391.7464396556,-0.5174465561594843,0.7054648607445415,0.874889483435837,True
69,7463.395806536282,5175.335715563823,49811.3716940243,-21676.08637859211,49814.26229485946,-21675.19163746376,-2.8906008351550554,-0.8947411283515976,3.0259105860819804,True
70,6788.931178013297,5107.886089342659,-44100.048208451626,-30239.421514678994,-44099.61291829074,-30239.46978775503,-0.4352901608872344,0.04827307603773079,0.4379586898731191,True
71,6298.753028951655,6237.384497344663,-110957.59486561512,127533.31133728707,-110958.17832901292,127532.44717000761,0.583463397808373,0.8641672794619808,1.0426958441821914,True
72,6174.862817394215,4502.877017769721,-130306.50009277412,-113701.72539137855,-130307.2032984021,-113701.92963882383,0.7032056279858807,0.2042474452755414,0.7322671466975711,True
73,7643.009606840641,5537.25066797794,75244.2278672641,28459.0830980131,75244.77458355472,28457.762756645185,-0.5467162906279555,1.320341367914807,1.4290556428163093,True
74,7771.735863115534,5373.665734447599,92956.34890908058,5542.907513776678,92958.20834899756,5542.561196981838,-1.8594399169815006,0.3463167948393675,1.891415376709194,True
75,6303.601108183575,5890.559513761273,-110687.06501642115,79251.5094209275,-110690.89788776291,79250.8864096185,3.832871341757709,0.6230113089986844,3.88317470809746,True
76,7723.107349124999,6011.67008213136,86973.40574427348,94377.08881493236,86974.8918067991,94376.43154787451,-1.4860625256260391,0.6572670578461839,1.6249251722463471,True
77,7820.995060662689,4413.928843199637,98666.65998204015,-128072.29102309086,98667.56072079248,-128073.49028703388,-0.9007387523306534,1.1992639430245617,1.4998547612982402,True
78,7992.4675330721575,6289.952425372568,124818.3580860837,132797.39477891196,124818.53105352692,132798.28841513832,-0.1729674432281172,-0.8936362263630144,0.9102216441533352,True
79,6526.303833568873,4357.600857573342,-81569.05582823855,-134339.03930678923,-81569.28058324596,-134337.9127435125,0.2247550074098399,-1.1265632767172065,1.1487643926426367,True
80,7200.219007999332,4388.066534688385,12248.188587715558,-130904.01544252511,12246.528085364744,-130903.85197227722,1.6605023508145678,-0.16347024789138231,1.668529466028807,True
81,6776.380094608571,6097.388935577248,-44650.261128584854,107447.99971252694,-44650.54830697879,107450.03830713965,0.2871783939335728,-2.0385946127062198,2.0587227654293545,True
82,7526.873937175791,5626.240841924831,59192.34521261355,40978.89607602844,59194.13631194466,40979.06617074724,-1.7910993311088532,-0.17009471880010096,1.7991578661313372,True
83,6532.429971918737,6228.46654974029,-78442.22777867946,125997.79132433375,-78442.63841209577,125997.50269260682,0.4106334163079737,0.28863172692945227,0.5019243731669498,True
84,7478.144868318102,5379.02537113623,52113.15595837645,6643.603446435154,52113.21515087105,6644.332926052693,-0.05919249460566789,-0.7294796175392548,0.7318772190899643,True
85,7287.876375341692,5979.433984696752,26373.57983705416,90410.10768543073,26373.58125338921,90411.17084340178,-0.0014163350497256033,-1.0631579710461665,1.0631589144638605,True
86,6769.960905875076,6030.59342155417,-45624.436889468256,98159.25154726481,-45623.87767585632,98161.82197896142,-0.5592136119375937,-2.5704316966148326,2.630558680345013,True
87,6791.286472950156,5030.270417155755,-43865.960002654654,-41040.9594883252,-43866.54979663413,-41040.65805772434,0.5897939794740523,-0.30143060086265905,0.6623574151168404,True
88,6885.063371972256,5978.446394563352,-29671.027979609105,90763.82491250106,-29671.3861641259,90763.58456240779,0.358184516793699,0.24035009327053558,0.4313517305006331,True
89,7437.03868295565,5015.846650940438,45953.54356028279,-43831.87311156343,45954.41970745063,-43831.957037577195,-0.876147167837189,0.08392601376544917,0.880157619688477,True
90,7090.317948571019,5300.377453725799,-1937.0806526971282,-3827.0665777408867,-1936.9535875346219,-3825.805272412345,-0.12706516250636923,-1.2613053285417664,1.2676895074625423,True
91,6322.840055640486,5076.0712884726945,-108995.21390775425,-34105.05134937265,-108994.42053225379,-34104.50892585419,-0.7933755004632985,-0.5424235184545978,0.9610764579928357,True
92,6192.939782303495,6147.483571566373,-125794.67401244013,115152.08469415651,-125793.77170567693,115150.47944763151,-0.9023067631933372,1.6052465249958914,1.8414597201448155,True
93,6844.197293558118,4810.83652801782,-36771.63517314906,-71635.3374538348,-36773.293303001956,-71635.46614145723,1.6581298528981279,0.12868762243306264,1.6631160853167892,True
94,6672.365576710142,5800.651999206659,-59478.14984920688,66282.93022484338,-59479.452444968614,66284.29700635877,1.3025957617355743,-1.366781515389448,1.8880803556262529,True
95,6251.555754910701,4562.847177867327,-119555.33299097448,-105442.85922755772,-119554.36847943082,-105443.31710154528,-0.9645115436578635,0.45787398755783215,1.067675562299421,True
96,7487.040527571979,6117.16677777179,54253.996876964025,109340.43601065665,54254.68606957614,109340.10819311973,-0.68919261211704,0.3278175369196106,0.7631846395917234,True
97,6405.959578990557,4944.791036023586,-97585.2725767394,-52470.693999508454,-97587.78166484229,-52470.95273167268,2.5090881028881995,0.25873216422769474,2.52239280066786,True
98,6471.461021117522,6081.4776516724205,-87100.82701315853,105612.44452700138,-87101.88248824805,105613.24384206,1.055475089524407,-0.7993150586116826,1.3239834695078154,True
99,6939.744678792848,4958.648347303412,-23300.823372871033,-51183.880898003554,-23299.698961590828,-51184.7864563331,-1.124411280205095,0.9055583295485121,1.4437231781983526,True
100,7088.7359525778575,4815.23735532321,-2745.477446505887,-71318.78708977503,-2746.186638089996,-71318.87270516508,0.7091915841087939,0.08561539005313534,0.7143407436123821,True
101,7594.4480881842455,4459.906771649018,67192.30475077577,-121390.25703329778,67190.99188605377,-121389.54291255766,1.3128647220000857,-0.7141207401145948,1.4945173835503485,True
102,6539.238008212869,4562.558262057628,-79514.32960552908,-105820.00757116114,-79513.3469998188,-105822.26781839515,-0.9826057102909544,2.260247234007693,2.4645956140380956,True
103,7707.493985308188,6000.523865924745,84787.03689494144,92842.28675072605,84788.15943384716,92843.70314456309,-1.1225389057217399,-1.416393837032956,1.8072811337597428,True
104,7914.009252918134,5236.927195384219,112592.59857180939,-13654.131687589164,112592.72210570054,-13655.347029169945,-0.12353389115014579,1.2153415807806596,1.2216037738305856,True
105,7781.910180238976,5426.040687469412,94437.16435378115,12816.34469333358,94437.79526588073,12817.248179072038,-0.6309120995865669,-0.9034857384576753,1.1019693993034203,True
106,7116.35599644818,5130.249842371437,1478.3341896554048,-27524.365385193756,1478.901058341569,-27525.112817746223,-0.5668686861642982,0.7474325524672167,0.9380807682930592,True
107,7537.537871136485,6099.567739772142,61258.896148947795,106832.24425452104,61259.750431201894,106830.38721981407,-0.8542822540985071,1.8570347069617128,2.0441076470010087,True
108,7801.866512494181,4687.241826469328,96326.72859887817,-90005.82645319725,96327.23758804881,-90006.20738075892,-0.5089891706447816,0.38092756166588515,0.6357482072883723,True
109,7375.778536047114,4914.59816523514,37307.08623544974,-57841.46190839227,37309.065035414256,-57843.923312201674,-1.9787999645195669,2.461403809400508,3.158189040021824,True
110,7313.302369356269,6160.14875104469,30131.33536613069,115530.04183562356,30132.660211859307,115530.80554096565,-1.3248457286172197,-0.7637053420912707,1.5292030781338484,True
